roomid,placeid
Sai Siri Nilayam,ChIJuU-uIEcSrjsRfLv-ptIQIVw
Keerthana Enclave,ChIJDwPLA0cSrjsRIX8FQo91EDE
Ravoos Pansy,ChIJxQDQ0kYSrjsRoJMrwssu_oA
Ravoos Daisy,ChIJfwdY0EYSrjsRR0bBBAJZXfU
Keerthi Gardenia,ChIJ0yVWOkESrjsRgw6Z-ZL8qxA
Jeevan Samskruthi Apartment,ChIJ5zkhc0cSrjsRzx2gIaUp398
Latha Residency,ChIJ2V8Ua0cSrjsRYtAVFRRaXvw
Saroj Habitat,ChIJV187JEcSrjsRY7xalo6Soxs
Kushal Campines,ChIJvxaFIUcSrjsRcmUQnWRADRo
Saranya Springs,ChIJZf40PkcSrjsR_yj_ccdgfDo
K B Homes,ChIJ27BwXEcSrjsRa4-kKv81Zro
Saroj Gokulam,ChIJbSgvXUcSrjsRyb45FwjKD2s
Maya Homes,ChIJyamBZ0cSrjsRzBUArL8pvEw
Sushma Residency,ChIJqXBMYkcSrjsR-Mgd628dbAU
Pavani Oakridge,ChIJefePwjgSrjsReZY83ljvHUc
Vidhya Gayatri Homes,ChIJUW9UxTgSrjsRYykk8VPN4kY
Ashiwana Apartments,ChIJ81FK5jgSrjsRNkavqn4RfTM
Shreekuteera,ChIJtbbu2zgSrjsRLXuqPzkeizU
Balaji Apartment,ChIJbznd2zgSrjsRh4Frrnd89zw
Malibu Homes 2,ChIJe1pjwTgSrjsRs3Y7z3AzYvc
Sameeksha Sadan,ChIJDb1GHjkSrjsRbyzrhyptAy4
Casa Di Mosa,ChIJvYx2ITkSrjsRghzaZR1J4Bw
Vaastu pleasant,ChIJSawq4DgSrjsRaAB8FhZUBbM
Vaswani Tranquil,ChIJ083GbTkSrjsRdBxRVyuFMik
Oasis condominiums,ChIJz3YeCgkUrjsRlyruivvZ_vE
Yerawada IT Zone,ChIJH7PcT9nAwjsRFK4IL60gRjI
Yerawada,ChIJR0DynSDBwjsR5Wdkk4d824k
Warje Malwadi,ChIJnRenW3yVwjsRU4jik302Lro
Upper Indira Nagar,ChIJn0fY1b3qwjsR9g9941vqwSI
Swargate,ChIJxRgZJxTAwjsRP01JDD_mPPo
Sanghavi,ChIJWx2B-POtwjsRDhYPPgDFJNE
Sahakar Nagar,ChIJoQbO6arqwjsRqvM1cWFWbjk
Pimpri Chinchwad,ChIJs-q9fze4wjsR-KCnsdplQiw
Pune Railway Station,ChIJjfYCF1nAwjsR3f3JVrgVWOo
Pune,ChIJARFGZy6_wjsRQ-Oenb9DjYI
Prabhat Road,ChIJfSMnOo-_wjsRYiMLXM1ySfM
Prabhat Road,ChIJbWddtgW5wjsRz0Za-ffe3xM
Pashan,ChIJbeR5i-O-wjsRftl3PRq_pYM
Parvati,ChIJa1uva-fqwjsRmKjDjgedmzA
Padmavati,ChIJraKwtB_AwjsRUaCJ0--T-uY
Mohammadwadi,ChIJzdjmzRLqwjsRaK2MaFTjusE
Kondhwa,ChIJT-3xdYrqwjsRSvom9OIVYMw
Kharadi IT Park,ChIJaf99UmHBwjsReiutf7XZ7Ag
Kharadi,ChIJlaSLKMPDwjsRSgBjOmEz6Dg
Khadki,ChIJjb3Xh02_wjsRF4gmTEPJvxs
Hinjawadi Phase 3,ChIJhaG8whK7wjsR9Nx6YsOfh7M
Hinjawadi Phase 2,ChIJfegPZ6W7wjsRSodqN_tgLe4
Hadapsar,ChIJ6arxgf_pwjsRU4usVTU0YCU
Fatima Nagar,ChIJW6k-38XBwjsRdfgu_hK3nUo
Erandwana,ChIJw_ByX4u_wjsRepsU4gtM_wk
Dhayari,ChIJf-VhVRqVwjsRINYYwot-Abs
Chinchwad,ChIJodHDU6W5wjsRiJHgMXaUnps
Baner,ChIJy9Nd8M--wjsRfat_-5cSkaE
Balewadi,ChIJnQkoQTa5wjsRX5YpGZAuiUM
Bharti Vidyapeeth Dhankawadi Campus,ChIJ70PSxMfqwjsRaG5rg9bWvZg
Primax park,ChIJuQEqUwgUrjsRJ5tjT3q5xg4
Sridhara villa,ChIJBfTuVQgUrjsRI6GGn9k1nHc
Sinhgad Vadgaon and Ambegaon Campus,ChIJFcoM5U2VwjsRVruCiRCHvKE
Nigdi,ChIJu_nybOe5wjsRyMa8IdGmwlE
Navi Peth,ChIJIX7_DYq_wjsRqSM0lIlTVDU
Nana Peth,ChIJ5fYO9EHAwjsRKMGjYGWewAk
Narayan Peth,ChIJ44ZAwnDAwjsR4ClYd6oLJ_U
Mundhawa,ChIJdWKoH4HBwjsRkQCgaKNbpzU
Budhawar Peth,ChIJm060u2jAwjsRu8UYeU6YdTs
IIT Bombay,ChIJU6StiAe45zsRwu-jReYYL24
CST,ChIJE81GBI3I5zsRtKr1c05RNrE
Naupada,ChIJd5Gdyhi55zsRg3mgD4MtGv8
Ghodbandar,ChIJxUa2KHOw5zsRgJN7vo2QEVY
Waghbil,ChIJecmch4W75zsRaCSWk6pgZB8
Dhokali,ChIJ5zb_HVG55zsRYVfmRDUpdiY
Panch Pakhadi,ChIJRSwvABm55zsRjMWjuGph67M
Mumbra,ChIJC1FJcxG_5zsRcV0HQ4qLFMg
Patlipada,ChIJRy_GjP275zsRY3Wm5bfT1f8
Thane East,ChIJMwDch9u45zsRsBthRT6zFfM
Vasant Vihar,ChIJmYNoGWe55zsREbh3AAFoEBQ
Diva,ChIJTyU_ZKq_5zsR78IBNejah_w
Kolshet Road,ChIJH_kh21W55zsRoGr3hEgTxxo
Vartak Nagar,ChIJtUP-NGy55zsRRfoDq-OLhgU
Shilphata,ChIJUUJt-X7A5zsR_tB3v748ek0
Juinagar,ChIJe8MFVODD5zsR0YEZgJcFfDA
Roadpali,ChIJ10tY1trp5zsRgWOe2ql1mvI
Seawoods,ChIJA90z7JjD5zsRI9pvYwU2jIA
Kalamboli,ChIJeWXYy9bp5zsRSL0ud49oUhs
Karanjade,ChIJ7yyqWgvo5zsRIyFG42EDtmY
Thurahalli,ChIJRdTss4I_rjsRHYiNZz5bIHo
Sarjapur Road,ChIJTazUtlg8rjsRWkg-dvcfy7g
Ghansoli,ChIJy0_9CK7A5zsRf5UOcww2Kes
Kamothe,ChIJrW_BkNPp5zsR_XHBtpZgokU
Kopar Khairane,ChIJfwmTntrA5zsRFPMcmMccTNU
Vashi,ChIJexAZtTbB5zsRyA--VJe5UoQ
Ulwe,ChIJCRpc4t_C5zsRgwhjiNXET0g
T Dasarahalli,ChIJt2eOptU8rjsRAk3hxUuz2UA
Vimanapura,ChIJZ3ACwucTrjsRGFdKFweUU70
Sadasiva Nagar,ChIJiZ7ZfTMWrjsRmHMiIdoLmmw
Nandini Layout,ChIJBbpUnws9rjsRu-v9XfyFTNg
Koramangala,ChIJLfyY2E4UrjsRVq4AjI7zgRY
Khetwadi,ChIJbfmM4RbO5zsRI-Mj8eI-GQk
Nagpada,ChIJi6S3mD_O5zsRiqiuu7hK4Ds
Khar East,ChIJ23OTzgTJ5zsRUGLSLiY8PW4
